bodyname; position x; position y; position z
sun;0.0115595;0.00108689;-0.000271286
jupiter;-4.85259;-2.54274;0.118687
saturn;5.57738;-8.3507;-0.0872695
uranus;-16.3909;8.42752;0.240783
neptune;10.8315;27.8885;-0.823358
sun;0.00142796;-0.00338919;2.77209e-05
jupiter;4.94628;-0.17453;-0.108597
saturn;9.58309;0.203949;-0.390954
uranus;-18.3333;1.24594;0.240073
neptune;5.30458;29.4966;-0.729169
sun;0.0127448;-0.00772033;-0.000203355
jupiter;-4.90886;2.25628;0.0984968
saturn;3.80036;8.26685;-0.290237
uranus;-17.4024;-6.13166;0.201734
neptune;-0.416111;30.0262;-0.608325
sun;0.00886642;-0.000393044;-0.000208341
jupiter;2.29574;-4.61897;-0.0300766
saturn;-6.22114;6.68213;0.14148
uranus;-13.7742;-12.5643;0.132111
neptune;-6.12153;29.4643;-0.46537
sun;0.012758;-0.00669472;-0.000316554
jupiter;-0.842743;5.08996;-0.00425549
saturn;-9.23482;-2.71275;0.418656
uranus;-8.06994;-17.1146;0.0425303
neptune;-11.6058;27.8379;-0.305604
sun;0.012635;0.00485401;-0.000360524
jupiter;-2.6609;-4.6947;0.0798608
saturn;-2.86891;-9.63841;0.2754
uranus;-1.19503;-19.204;-0.0532851
neptune;-16.6734;25.2123;-0.13487
sun;0.00369389;-0.00288372;-8.06865e-05
jupiter;3.91293;3.04622;-0.10018
saturn;6.18062;-7.8737;-0.120255
uranus;5.85271;-18.6582;-0.141853
neptune;-21.1464;21.6877;0.0406711
sun;0.0115828;-0.00170201;-0.000219865
jupiter;-5.42094;-0.761349;0.123272
saturn;9.46919;1.02601;-0.400367
uranus;12.1424;-15.6674;-0.211948
neptune;-24.8701;17.3946;0.214771
sun;0.00389815;-0.00246678;-6.27617e-05
jupiter;4.51149;-2.18231;-0.089893
saturn;2.96242;8.57257;-0.261338
uranus;16.9101;-10.7029;-0.255459
neptune;-27.7178;12.4886;0.381308
sun;0.0145675;-0.00743741;-0.000344315
jupiter;-3.74281;3.77563;0.0657002
saturn;-6.86503;6.06559;0.178138
uranus;19.6122;-4.42713;-0.267761
neptune;-29.5943;7.14489;0.534485
sun;0.0112336;0.00390971;-0.000372928
jupiter;0.417426;-5.24568;0.014307
saturn;-8.99706;-3.52875;0.422575
uranus;19.9489;2.38327;-0.247783
neptune;-30.4384;1.55186;0.669017
sun;0.00862022;-0.00398645;-0.00027084
jupiter;1.16153;4.92391;-0.047968
saturn;-2.06247;-9.85115;0.245791
uranus;17.8745;8.90389;-0.197886
neptune;-30.2243;-4.09532;0.780296
sun;0.0112836;0.00341348;-0.000312411
jupiter;-4.1574;-3.53963;0.107793
saturn;6.81031;-7.30506;-0.155507
uranus;13.6027;14.3253;-0.123702
neptune;-28.9621;-9.60068;0.864518
sun;0.00216462;-0.00358977;-3.7818e-05
jupiter;4.79675;1.16053;-0.111275
saturn;9.3101;1.87683;-0.407868
uranus;7.60814;17.923;-0.033904
neptune;-26.6968;-14.7737;0.918799
sun;0.0140247;-0.00533368;-0.000307491
jupiter;-5.32824;1.10527;0.112719
saturn;2.13321;8.81508;-0.23109
uranus;0.613766;19.1428;0.060236
neptune;-23.507;-19.4353;0.941262
sun;0.00858043;0.000629068;-0.000275608
jupiter;3.33954;-3.84672;-0.0564765
saturn;-7.41343;5.43531;0.211221
uranus;-6.45621;17.7006;0.14582
neptune;-19.5021;-23.4232;0.931091
sun;0.0141617;-0.00450328;-0.000414059
jupiter;-2.08833;4.7898;0.0243492
saturn;-8.71718;-4.27027;0.423426
uranus;-12.5767;13.6809;0.210029
neptune;-14.8195;-26.5975;0.888567
sun;0.0114048;0.00698527;-0.000383378
jupiter;-1.50541;-5.13007;0.0563963
